TYPE,CATEGORY,QUESTION,help text,image video,is_required,correct_answers,"correct_feedback
",incorrect_feedback,correct answers texts(optional),choice 1,choice 2,choice 3,choice 4,choice 5,choice 6,choice 7,choice 8,choice 9,choice 10,choice 11,,,,
CHOICE,for since,I haven't been on holiday___last July.,"()for since for + a period of time
()since + a starting point",,,2,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,I haven't been to Italy ___ July 2015.,"()for since for + a period of time
()since + a starting point",,,2,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,I haven't eaten anything___breakfast.,"()for since for + a period of time
()since + a starting point",,,2,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,I haven't seen her ___ ages.,"()for since for + a period of time
()since + a starting point",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,I haven't seen him ___ the office party.,"()for since for + a period of time
()since + a starting point",,,2,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,I haven't spoken to her ___ our quarrel.,"()for since for + a period of time
()since + a starting point",,,2,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,I haven’t slept ____________two nights.,"()for since for + a period of time
()since + a starting point",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,I’ve lived in Moscow____________I was three years old.,"()for since for + a period of time
()since + a starting point",,,2,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,I’ve studied engineering_ ____________ quite a few years.,"()for since for + a period of time
()since + a starting point",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,It has been raining ___ more than four days.,"()for since for + a period of time
()since + a starting point",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,It has been snowing ___ yesterday morning.,"()for since for + a period of time
()since + a starting point",,,2,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,Jack has been the manager ____________ three years.,"()for since for + a period of time
()since + a starting point",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,Jim has been programming ___ three hours. Now he is tired.,"()for since for + a period of time
()since + a starting point",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,Joe and Josephine have been going out together___Valentine's Day.,"()for since for + a period of time
()since + a starting point",,,2,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,Kevin has been playing video games ___ two hours.,"()for since for + a period of time
()since + a starting point",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,Linda has been on vacation ___ six weeks.,"()for since for + a period of time
()since + a starting point",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,Liza’s lived here ____________ three months.,"()for since for + a period of time
()since + a starting point",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,Mary has been saving her money___many years.,"()for since for + a period of time
()since + a starting point",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,Mike has been hired ___ a six-month period.,"()for since for + a period of time
()since + a starting point",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,My friend has been ill ___ a long time.,"()for since for + a period of time
()since + a starting point",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,Sam has wanted to be an analyst___eight years.,"()for since for + a period of time
()since + a starting point",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,She has  been waiting___20 minutes.,"()for since for + a period of time
()since + a starting point",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,She has been on the phone ___ ten o'clock.,"()for since for + a period of time
()since + a starting point",,,2,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,"She has had that job ___ March, 18th.","()for since for + a period of time
()since + a starting point",,,2,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,She has lived in New York ___ six years.,"()for since for + a period of time
()since + a starting point",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,for,,,,,,,,,,,,,
CHOICE,for since,She has lived in Paris ___ January.,"()for since for + a period of time
()since + a starting point",,,2,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,She hasn't posted ___ Christmas.,"()for since for + a period of time
()since + a starting point",,,2,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,She’s been an office manager ____________ 2010.,"()for since for + a period of time
()since + a starting point",,,2,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,The universe has existed ___ billions of years.,"()for since for + a period of time
()since + a starting point",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,The weather has been awful ___ the beginning of the year.,"()for since for + a period of time
()since + a starting point",,,2,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,There hasn't been an Emperor of France ___ Napoleon III.,"()for since for + a period of time
()since + a starting point",,,2,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,They have been interested in learning how to program ___ last October.,"()for since for + a period of time
()since + a starting point",,,2,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,They have been married ___ a long time.,"()for since for + a period of time
()since + a starting point",,,2,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,since,for,,,,,,,,,,,,,
CHOICE,for since,They have worked together ___ 2005.,"()for since for + a period of time
()since + a starting point",,,2,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,They’ve had their car ____________ last year.,"()for since for + a period of time
()since + a starting point",,,2,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,Tim and Tina have been learning English___six years.,"()for since for + a period of time
()since + a starting point",,,2,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,since,for,,,,,,,,,,,,,
CHOICE,for since,We have been here ___ two hours.,"()for since for + a period of time
()since + a starting point",,,2,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,since,for,,,,,,,,,,,,,
CHOICE,for since,We have been living here___2 months.,"()for since for + a period of time
()since + a starting point",,,2,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,since,for,,,,,,,,,,,,,
CHOICE,for since,We have been working in this office ___ three years.,"()for since for + a period of time
()since + a starting point",,,2,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,since,for,,,,,,,,,,,,,
CHOICE,for since,We have had this car ___ 2008.,"()for since for + a period of time
()since + a starting point",,,2,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,We have lived in fear of dictators ___ I was a child.,"()for since for + a period of time
()since + a starting point",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,since,for,,,,,,,,,,,,,
CHOICE,for since,We’ve been with the firm ____________ seven months.,"()for since for + a period of time
()since + a starting point",,,2,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,since,for,,,,,,,,,,,,,
CHOICE,for since,"When he finally arrived, I had been waiting ___ ages.","()for since for + a period of time
()since + a starting point",,,2,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,since,for,,,,,,,,,,,,,
CHOICE,for since,You have been binge watching TV___ hours.,"()for since for + a period of time
()since + a starting point",,,2,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,since,for,,,,,,,,,,,,,
CHOICE,conjunctions,"___ one, ___ the other.","A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,neither/nor,neither/nor,and,yet,or,,,,,,,,,,,
CHOICE,conjunctions,____ I come back home I want to go back to work!,"A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,while,while,as,as soon as,before,every time,since,until,when,whenever,,,,,,
CHOICE,conjunctions,"____ I come back home, my cat, Fluffy, is waiting for me!","A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,while,while,as,as soon as,before,every time,since,until,when,whenever,,,,,,
CHOICE,conjunctions,"____ I see you, I think of wheat fields swaying in the wind!","A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,while,while,as,as soon as,before,every time,since,until,when,whenever,,,,,,
CHOICE,conjunctions,"____ I'm feeling blue, I reach out to you.","A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,while,while,as,as soon as,before,every time,since,until,when,whenever,,,,,,
CHOICE,conjunctions,__________ computers are very expensive.,"A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,both,both,neither,,,,,,,,,,,,,
CHOICE,conjunctions,__________ of my brothers work in government and have for years.,"A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,both,both,neither,,,,,,,,,,,,,
CHOICE,conjunctions,__________ of them want to go snowboarding. It's too expensive.,"A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,Neither,Neither,Either,Nor,Which,,,,,,,,,,,
CHOICE,conjunctions,__________ of us wanted to go to the cafe.,"A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,Neither,Neither,Either,Instead,,,,,,,,,,,,
CHOICE,conjunctions,choice 12,"A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,"1,9,10",Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,#VALUE!,even though,,in addition,whereas,so that,neither … nor,due to,therefore,although,despite,during,as well as,while,both,which
CHOICE,conjunctions,"______________________ my husband loves jazz, he doesn’t often listen to it.","A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,even though,even though,during,although,which,in order to,in addition,despite,therefore,while,so that,whereas,however,due to,as well as,both
CHOICE,conjunctions,"______________________ we hadn’t eaten for over 12 hours, we weren’t hungry.","A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,even though,even though,,in addition,whereas,so that,neither … nor,due to,therefore,although,despite,during,as well as,while,both,which
CHOICE,conjunctions,"______________________ we were driving through the countryside, we saw lots of nice villages.","A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,while,while,as well as,whereas,therefore,which,even though,during,in addition,so that,despite,both,in order to,due to,although,
CHOICE,conjunctions,"____there is a major athletics event, some of the competitors are sure to be found using banned substances.","A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,I need help with this one,I need help with this one,Whenever,Unless,Although,By the time,I need help with this one,,,,,,,,,
CHOICE,conjunctions,He locks his car every evening ______________________ nobody can steal it.,"A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,so that,so that,neither … nor,due to,therefore,although,despite,during,as well as,while,both,which,,,,
CHOICE,conjunctions,He plays __________ table tennis nor squash.,"A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,neither,neither,either,,,,,,,,,,,,,
CHOICE,conjunctions,"He spent most of his time hanging around with friends. ______________________, he was not prepared for the exam.","A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,neither … nor,neither … nor,during,although,which,in order to,in addition,despite,,while,so that,whereas,however,due to,as well as,both
CHOICE,conjunctions,Honda makes cars ______________________ motorcycles.,"A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,as well as,as well as,neither … nor,due to,therefore,although,despite,during,while,both,which,,,,,
CHOICE,conjunctions,"I arrived late for the show, ______________________ the bad traffic.","A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,due to,due to,even though,during,in addition,so that,despite,both,in order to,,while,although,,,,
CHOICE,conjunctions,I haven't seen __________ of those photos for ages.,"A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,either,either,neither,both,,,,,,,,,,,,
CHOICE,conjunctions,I started to learn Italian ______________________ my stay in Foggia.,"A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,during,during,despite,,as well as,while,both,which,,,,,,,,
CHOICE,conjunctions,Our flight attendants speak French ______________________ to English and Spanish.,"A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,in addition,in addition,during,although,which,in order to,,despite,therefore,while,so that,whereas,however,due to,as well as,both
CHOICE,conjunctions,"Sally invited me to her party last weekend. ______________________, I had to tell her I couldn’t come.","A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,although,although,despite,during,as well as,while,both,which,,,,,,,,
CHOICE,conjunctions,She wakes up early ______________________ be on time for work.,"A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,in order to,in order to,despite,both,in orders to,due to,while,although,,,,,,,,
CHOICE,conjunctions,She's __________ sociable and sensitive.,"A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,both,both,neither,,,,,,,,,,,,,
CHOICE,conjunctions,The Ethiopian national football team will never win a major tournament...... they learn discipline.,"A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,I need help with this one.,I need help with this one.,not only,whereas,even,unless,,,,,,,,,,
CHOICE,conjunctions,The weather was perfect. It was ___ too hot___ too cold.,either neither,,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,neither … nor,neither … nor,both... and,which... over,despite... not,during... yet,,while,both,which,,,,,,
CHOICE,conjunctions,There is ___ milk ___ eggs in the refridgerator.,"A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,neither/nor,neither/nor,and,yet,or,,,,,,,,,,,
CHOICE,conjunctions,"This car offers 6 air bags and heating for your seats. ______________________, there is also a GPS system installed","A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,in addition,in addition,during,although,which,in order to,even though,despite,therefore,while,so that,whereas,however,due to,as well as,both
CHOICE,conjunctions,"This cell phone costs 2 cents per minute, ______________________ the other has a flat rate.","A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,while,while,both,which,despite,during,as well as,both,,,,,,,,
CHOICE,conjunctions,"This is Jack’s new mountain bike, ______________________ he got from his parents.","A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,which,which,while,although,despite,during,as well as,while,both,which,,,,,,
CHOICE,conjunctions,We won't be able to go to the club _____ our parents give us permission.,"A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,unless,unless,nevertheless,,without,within,,,,,,,,,,
CHOICE,conjunctions,Would __________ of you like to go out for a drive in the car?,"A conjunction is a part of speech that connects words, phrases, or clauses. There might be more than one correct answer.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,either,either,neither,,,,,,,,,,,,,
CHOICE,abstract nouns,Identify the abstract noun(s): ,"abstract nouns Abstract nouns are common and useful. Abstract nouns denote an idea, quality, or state rather than a concrete object, e.g. truth, danger, happiness.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,ability,ability,way,girl,equipment,battle,,,,,,,,,,
CHOICE,abstract nouns,Identify the abstract noun(s): ,"abstract nouns Abstract nouns are common and useful. Abstract nouns denote an idea, quality, or state rather than a concrete object, e.g. truth, danger, happiness.",,,1,You're doing great!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,adoration,adoration,yell,game,cement,prison,,,,,,,,,,
